"trans_date_trans_time","merchant","category","amt","gender","city","state","city_pop","job","dob","trans_num","is_fraud"
"12/20/2019 21:34","fraud_Kerluke-Abshire","shopping_net",5.18,"F","Mountain Center","CA",1661,"Therapist, music","9/19/1988","0b819b15cc8e25d91bcc374a8e47f32b",0
"8/16/2019 8:47","fraud_Spinka-Welch","grocery_net",40.18,"M","East Troy","WI",9679,"Engineer, production","4/11/1991","2d0fd8ba40a2fed84e8fdf1e17f16434",0
"5/14/2019 13:56","fraud_Witting, Beer and Ernser","home",84.7,"F","Orient","WA",149,"Special educational needs teacher","6/21/1978","9035d678240d6f875ac2d4f8f7c0568a",0
"7/14/2019 23:05","fraud_Schaefer Ltd","kids_pets",30.3,"F","Utica","MO",271,"Land/geomatics surveyor","4/18/1972","06145397f0647fc1e2e1d7ba606408ec",0
"3/1/2020 17:28","fraud_Turcotte, McKenzie and Koss","entertainment",132,"F","Rocky Mount","MO",1847,"Tax inspector","10/26/1988","85e18cb78313ce606f0a6e4f636df6d1",0
"8/2/2019 2:26","fraud_Mayert Group","shopping_pos",5.12,"F","Holstein","NE",331,"Telecommunications researcher","8/19/1950","1feb25950e0b261c83e2aa6750a4e680",0
"5/5/2019 11:22","fraud_Morissette PLC","shopping_pos",186.52,"M","Kent","OR",60,"Museum education officer","4/3/1942","8b05b13b2e89f6df9815d8cf76519282",0
"12/4/2019 2:34","fraud_Bernier, Volkman and Hoeger","misc_net",112.64,"M","Ruckersville","VA",9815,"Designer, ceramics/pottery","7/7/1975","5468d8d70a1886b1b4c08d0a00b0ded4",0
"5/23/2019 0:42","fraud_Reilly, Heaney and Cole","gas_transport",36.82,"M","Wales","AK",145,"Administrator, education","11/9/1939","ba51522fdedd25b3b5ca1069f2ba9481",0
"7/31/2019 20:47","fraud_Graham, Hegmann and Hammes","food_dining",77.99,"F","Lawn","PA",213,"Special educational needs teacher","2/15/1972","e536fb2b0be782d51df875d78e519ebf",0
"2/16/2020 14:03","fraud_Schmidt and Sons","shopping_net",7.7,"F","Birmingham","IA",888,"Camera operator","3/25/1988","78ff3eda97ae0d01de706937023e4127",0
"8/25/2019 16:44","fraud_Parker-Kunde","personal_care",92.68,"M","Ollie","IA",568,"Commercial horticulturist","7/24/1969","a13fa7bc4ba345ec2d5f71311f21c84e",0
"2/17/2019 9:30","fraud_Cummerata-Jones","gas_transport",59.02,"M","Tyaskin","MD",470,"Music tutor","4/7/1965","ee17f6d48fb0cd31d6c78f0fbbc1adf9",0
"10/21/2019 13:24","fraud_Pouros, Walker and Spencer","kids_pets",99.76,"F","Henderson","WV",642,"Building services engineer","8/30/1946","ed1de201773bf170bfb5390d46f44f83",0
"5/13/2019 8:59","fraud_Terry-Huel","shopping_net",73.42,"M","Spearsville","LA",1758,"Psychologist, forensic","8/8/1957","b94041a786b377cba360f3b1b0ae3645",0
"8/26/2019 11:27","fraud_Feil, Hilpert and Koss","food_dining",83.19,"M","Paulding","OH",6284,"Secondary school teacher","3/27/1936","ae44f545facd2361f752f222c8c29f31",0
"12/20/2019 23:52","fraud_Donnelly PLC","misc_net",5.56,"M","Gretna","LA",55581,"Biomedical scientist","9/12/1972","3e8c483be8cf69c4977dc6e91f1807a9",0
"7/19/2019 3:59","fraud_Koepp-Parker","grocery_pos",103.53,"F","Kirtland Afb","NM",310,"Surveyor, land/geomatics","9/30/1978","5330ff409a60d07fc0b12edfb415a72e",0
"12/20/2019 1:32","fraud_Rutherford-Mertz","grocery_pos",140.9,"F","Prairie Hill","TX",263,"Barrister","5/30/1956","190bdbcd3b3374bd84c4a5306b887b76",0
"11/28/2019 9:34","fraud_Spencer-Runolfsson","misc_pos",86.43,"F","Napa","CA",94014,"Airline pilot","8/21/1985","c9e56abdee39718a031667488fd2413f",0
"7/27/2019 3:31","fraud_Parisian and Sons","gas_transport",105.63,"F","Hannawa Falls","NY",69,"Chief Executive Officer","6/5/1991","54c745e74d561b113987a786a7c13158",0
"12/2/2019 18:55","fraud_Monahan-Morar","personal_care",58.68,"F","Cressona","PA",1606,"Ecologist","5/10/1966","288f6f6a5c1c6e9604c2d608fcb8e985",0
"2/19/2019 20:42","fraud_Boyer-Reichert","shopping_net",49.26,"F","Grandview","TX",5875,"Radiographer, therapeutic","7/24/1992","d7cc7d5d3a6c73ef448188e39c8e9685",0
"7/5/2019 5:14","fraud_Miller-Hauck","grocery_pos",107.43,"M","Grand Junction","TN",1804,"Clothing/textile technologist","10/15/1974","5454fb2ee3ba47916b6e360323a9dd36",0
"12/2/2019 14:48","fraud_Schuppe, Nolan and Hoeger","shopping_pos",152.57,"F","Lomax","IL",725,"Environmental consultant","11/28/1972","7be8cbeeee908bb2d7abd1021e6e2ff7",0
"11/4/2019 18:39","fraud_Bartoletti and Sons","personal_care",6.07,"M","Sontag","MS",1196,"Librarian, academic","6/11/1958","70d726bfb6f74180402b94244ed2736c",0
"11/18/2019 13:40","fraud_Hilpert-Conroy","kids_pets",1.6,"M","Cleveland","AL",3996,"Aid worker","6/14/1977","0f94a3b32d5c614782d1f4d56141bedf",0
"2/4/2019 1:46","fraud_Greenholt, Jacobi and Gleason","gas_transport",48.55,"F","Logan","IL",324,"Scientist, research (physical sciences)","6/15/1976","a982f7e319a0079daf20f47900296af5",0
"6/23/2019 7:38","fraud_Greenholt, O'Hara and Balistreri","shopping_net",100.1,"M","Shippingport","PA",198,"Secretary/administrator","10/26/1978","74c0415f66e7b9652157929386af7f56",0
"12/3/2019 17:38","fraud_Lynch Ltd","shopping_pos",14.74,"F","Houston","TX",2906700,"Copywriter, advertising","12/16/1984","9a6adc96e64342afefab05dfe46a4691",0
"8/3/2019 23:17","fraud_Dietrich-Fadel","health_fitness",23.23,"M","Oklahoma City","OK",640470,"Advertising copywriter","6/24/1966","e9c90aac1fffce1aafac912721d30001",0
"8/17/2019 2:57","fraud_Stark-Batz","entertainment",241.13,"F","Waupaca","WI",15426,"Engineer, civil (contracting)","7/22/1936","1fc9ea237ba19ea240eebecd6c91c6ec",0
"6/2/2019 22:34","fraud_Waelchi Inc","kids_pets",30.19,"M","Parsonsfield","ME",1892,"Audiological scientist","3/2/1956","832cdb43aa037ad2a254d1308b574172",0
"12/8/2019 22:37","fraud_Kemmer-Buckridge","misc_pos",12.82,"M","Port Richey","FL",42619,"Environmental education officer","10/7/1975","9826eb93b209179db33b3287b4d94966",0
"3/7/2019 8:41","fraud_Rau and Sons","grocery_pos",112.01,"M","Burns Flat","OK",2142,"Politician's assistant","6/30/1976","62040c1ea4e869b3fc1a75aed202fb62",0
"12/23/2019 19:09","fraud_Goyette-Herzog","travel",6.57,"F","Queenstown","MD",3862,"Maintenance engineer","12/6/1962","34946b685c27c7c51dc2bd460aeb8a88",0
"5/19/2019 13:10","fraud_Larkin Ltd","kids_pets",5.55,"M","Luzerne","MI",864,"General practice doctor","5/4/1942","fc5716aaff2b43f14bd5ff782a3a3918",0
"12/16/2019 20:41","fraud_Kuphal-Toy","food_dining",107,"M","Naples","FL",276002,"Programme researcher, broadcasting/film/video","1/2/1979","74b6e7d5324ab32e6ca9b12afa26710d",0
"2/17/2020 2:12","fraud_Greenholt, Jacobi and Gleason","gas_transport",63.57,"M","Haines City","FL",33804,"Exercise physiologist","1/1/1991","38755d9a1b7d22ac4b3e09052efdcfeb",0
"3/17/2019 6:34","fraud_Jast and Sons","food_dining",65.19,"M","Huntsville","AL",190178,"Engineer, automotive","6/6/1959","da33d2949e3338a0792b93edfb8615f0",0
"3/23/2019 7:59","fraud_Yost, Block and Koepp","misc_pos",2.26,"M","Cass","WV",365,"Special effects artist","3/14/1970","5b7a85a1cc59a7559edd8269c2e0b9d2",0
"12/14/2019 3:57","fraud_Dickinson-Rempel","misc_pos",36.99,"M","Bridger","MT",1446,"Chartered loss adjuster","1/15/1978","0ffda365fe7330741721146dc0d187e4",0
"1/22/2019 7:20","fraud_Schmitt Inc","gas_transport",71.6,"M","Shelter Island","NY",1858,"Clinical biochemist","3/3/1984","d0777070ef18717edaa3eaa325163946",0
"9/18/2019 17:23","fraud_O'Connell, Botsford and Hand","home",33.35,"M","Humble","TX",194500,"Tax adviser","12/18/1990","b7fa36ba063babe2044ad62a6a417cef",0
"3/10/2019 17:21","fraud_Koss, Hansen and Lueilwitz","home",152.25,"M","Boulder","MT",1939,"Patent attorney","1/12/1967","6a339898228c17cd2797a77732bae04e",0
"8/20/2019 7:06","fraud_Kiehn-Emmerich","grocery_pos",17.18,"M","Dadeville","AL",8269,"Minerals surveyor","1/4/1977","0d6ed2e3fd6ccd6afa269c987638ff46",0
"5/6/2019 5:16","fraud_Rempel PLC","grocery_net",80.49,"F","Mobile","AL",270712,"Surveyor, land/geomatics","1/5/1972","f6544f79bdd22c0407b93a5817acc243",0
"11/18/2019 4:54","fraud_Bernhard-Lesch","food_dining",36.21,"M","Burke","VA",43102,"Health visitor","11/27/1950","9440bf8ffbee3b85f70721e56b3624d7",0
"7/7/2019 18:26","fraud_Morissette LLC","entertainment",170,"F","Scotia","SC",302,"Magazine features editor","5/4/1973","d9c92ecffe3a6ebbcf7666e79d99795c",0
"12/11/2019 4:16","fraud_Dicki Ltd","grocery_net",77.13,"M","Valentine","NE",4005,"Network engineer","3/15/1945","b8d581ad4c7803259c59f8a909c4d093",0
"5/11/2019 17:30","fraud_Moore, Williamson and Emmerich","home",9.54,"F","Pembroke Township","IL",2135,"Psychotherapist, child","5/8/2004","37d5cd23c1be22437bff3abbd0dd5e98",0
"12/8/2019 11:51","fraud_Ferry, Reichel and DuBuque","grocery_net",34.56,"M","Arcadia","OH",1202,"Curator","3/1/1933","0855c561c4a9a7eb475de6de560a7334",0
"7/3/2019 15:37","fraud_Bernhard-Lesch","food_dining",70.12,"F","Amanda","OH",4512,"Farm manager","10/3/1992","29327783ecce4d78cd695dde35da039a",0
"5/9/2019 21:40","fraud_Feil-Morar","health_fitness",41.9,"F","Prosperity","SC",8333,"Archaeologist","7/9/1994","4c897366936aeb78bea4f1909585428b",0
"7/24/2019 22:30","fraud_Johnson, Runolfsdottir and Mayer","misc_net",3.82,"M","Oconto Falls","WI",5548,"Mining engineer","9/11/1975","9642de3b842a0a3262aeebf70d0f6e04",0
"5/2/2019 23:02","fraud_Lind-Buckridge","entertainment",4.88,"F","Henderson","WV",642,"Building services engineer","8/30/1946","69c6f690209863f2171ec79b086b92b9",0
"9/30/2019 13:16","fraud_Hagenes, Kohler and Hoppe","food_dining",11.01,"M","Spring Church","PA",972,"Public relations account executive","10/23/1997","f13fd48269f07765cfa275c4ab14c3f1",0
"12/9/2019 16:16","fraud_Gottlieb Group","kids_pets",9.16,"M","Lohrville","IA",695,"Administrator","7/15/1954","010ff375f14bedd079e83478d9b79699",0
"12/11/2019 20:10","fraud_Morissette LLC","entertainment",90.17,"M","Manderson","SD",1126,"Volunteer coordinator","8/18/1980","e6d8a7e1fc20526ef1bedeca801fc23a",0
"2/7/2020 15:19","fraud_Medhurst PLC","shopping_net",730.55,"M","Fayetteville","NC",238602,"Scientist, research (maths)","5/14/1993","6fd9d6d7911d4e4ffcd8dda6d2e7d66b",0
"6/14/2019 5:12","fraud_Corwin-Gorczany","misc_net",234.12,"F","Sherman","TX",46563,"Systems developer","9/11/1970","dd49bf9ed28c5236c953dfd9fb8c0475",0
"3/25/2019 8:07","fraud_Schmitt Ltd","misc_net",110.86,"M","Harper","TX",2395,"Pharmacist, community","11/17/1993","dc0b02aa3e400d981be07c273c46f903",0
"5/27/2019 7:54","fraud_Koepp-Parker","grocery_pos",120.76,"M","Rock Tavern","NY",2258,"Building surveyor","3/17/1937","c7c77aad3bbe3cc66ece30e7c3b58063",0
"12/29/2019 6:38","fraud_Huels-Nolan","gas_transport",37.31,"F","Heart Butte","MT",743,"Water engineer","5/4/1972","67f9bd98e290723736d9e6ae2fe32832",0
"12/6/2019 6:19","fraud_Padberg-Welch","grocery_pos",99.39,"M","San Diego","CA",1241364,"Chartered public finance accountant","8/5/1959","569695e65b882cb207b219a741f78847",0
"3/2/2019 4:24","fraud_Kris-Weimann","misc_net",41.29,"M","Cecilton","MD",663,"Podiatrist","1/14/1969","b24576109215cb8f95b8521a74c29f70",0
"3/5/2019 11:43","fraud_Gerlach Inc","shopping_net",80.46,"M","Fiddletown","CA",832,"Immigration officer","5/19/1987","cf359890eced9f2d68565c3737e7e58d",0
"12/2/2019 3:51","fraud_Powlowski-Weimann","food_dining",94.91,"M","East Rochester","NY",8019,"Retail buyer","6/26/1928","92d78fd550dec4a37e9e34a4556c0cc0",0
"12/21/2019 10:56","fraud_Mraz-Herzog","gas_transport",54.48,"F","Kansas City","MO",545147,"Counsellor","11/18/1987","6e88d52544d7c0e84be8925c8170a9bd",0
"8/13/2019 11:15","fraud_Harber Inc","gas_transport",65.14,"F","Brunson","SC",1725,"Social researcher","12/5/1974","1781b841ea2a9e8261de40cd5c594891",0
"8/7/2019 8:02","fraud_Roob, Conn and Tremblay","shopping_pos",45.93,"M","Benton","WI",1306,"Public relations officer","9/10/1958","466dc5f507f0caa32872d664afdee6a3",0
"2/14/2020 7:56","fraud_Adams, Kovacek and Kuhlman","grocery_net",54.12,"M","Newberg","OR",28278,"Research scientist (physical sciences)","7/17/1977","7fee5c870507bf6048740044d27f0217",0
"8/28/2019 14:17","fraud_Jewess LLC","shopping_pos",1.44,"F","Uledi","PA",328,"Tree surgeon","7/25/1983","68dcd5de238a61c9c995fb05315bc3aa",0
"11/18/2019 18:11","fraud_Bins, Balistreri and Beatty","shopping_pos",117.62,"M","Olmsted","IL",639,"Mechanical engineer","8/1/1982","21cac3e07924ea09f6a221059f336042",0
"6/16/2019 13:00","fraud_Champlin and Sons","home",84.01,"M","Huntsville","AL",190178,"Television production assistant","4/1/1973","0d6ef8b54e7990690903a4f8ef7165a6",0
"2/5/2019 23:58","fraud_Torphy-Kertzmann","health_fitness",43.63,"M","Knowlesville","NY",275,"TEFL teacher","8/18/1964","7d3e0c2eb7b276cef3c80680afbb9d79",0
"10/4/2019 12:27","fraud_Turner LLC","travel",5.93,"M","Moulton","IA",1132,"Probation officer","2/14/1961","b0690625a01515aab55dbc1198260e84",0
"3/31/2019 13:56","fraud_Lubowitz-Walter","kids_pets",87.57,"F","Georgetown","MN",346,"Research officer, trade union","12/14/1976","f2c9de7aba7caedcf0aa224d886a2cdf",0
"8/30/2019 2:07","fraud_Rowe, Batz and Goodwin","grocery_pos",98.22,"M","Mount Saint Joseph","OH",177,"Exhibition designer","5/30/1974","9bb6845206ea8f1dc8a43208e998d93c",0
"4/16/2019 2:21","fraud_Langworth, Boehm and Gulgowski","shopping_net",8.43,"F","Campbell","NE",493,"Surveyor, minerals","9/13/1940","e5979b1823e7006b19169cbac31cb357",0
"6/9/2019 23:49","fraud_Brown Inc","kids_pets",285.77,"F","Eureka","IL",6713,"Archivist","8/19/1945","19e82a896ae73d9f72eeacb73a195fec",0
"5/2/2019 14:33","fraud_Leannon-Ward","food_dining",38.36,"F","Oolitic","IN",1228,"Counsellor","3/13/1991","d9982af1bef26c3b5861b3a657ed0341",0
"6/27/2019 3:01","fraud_Schamberger-O'Keefe","grocery_pos",105.43,"F","Matthews","MO",1019,"Aeronautical engineer","1/26/1979","0297433350b6d6bd653e7a61f7802266",0
"3/23/2019 23:32","fraud_Rippin-VonRueden","health_fitness",85.8,"M","Kensington","MD",19054,"Operations geologist","9/8/1976","ed9826ab4d7a8f4e349a836f0b406651",0
"2/7/2020 9:52","fraud_Kunde-Sanford","misc_net",19.85,"F","Armagh","PA",922,"Early years teacher","10/4/1972","722c4e28d2836ecf75e161fb8110ce4f",0
"1/11/2019 10:24","fraud_Kling Inc","gas_transport",44.16,"F","Cleveland","TX",34153,"Building surveyor","9/11/1995","1abdbda900ddd56d2f095fda51521cbe",0
"5/11/2019 2:11","fraud_Ferry, Lynch and Kautzer","misc_net",4.74,"F","Thomas","OK",1675,"Barrister","5/1/1986","dc0b5c7c128db46e22de033c493f6866",0
"3/24/2019 19:51","fraud_Gulgowski LLC","home",136.35,"F","Walnut Ridge","AR",7155,"Engineer, control and instrumentation","3/23/1977","7807d64c57e57b12d403aebf81dc7ef9",0
"12/21/2019 16:17","fraud_Kozey-Kuhlman","personal_care",77.38,"M","West Harrison","NY",11250,"Lexicographer","8/16/1977","250bf1f84bed3e81c8cf1d8402351354",0
"3/13/2019 7:49","fraud_Nienow PLC","entertainment",90.84,"M","South Richmond Hill","NY",47211,"Site engineer","2/1/1937","3527ef8ae5b0ae1359e8eb31dd017a5f",0
"10/26/2019 9:40","fraud_Koss and Sons","gas_transport",48.43,"F","Cowlesville","NY",1166,"Colour technologist","6/12/1983","653cc63cb26366ad4cb351748008adc3",0
"3/31/2019 2:43","fraud_Parker, Nolan and Trantow","entertainment",43.85,"F","Ash Flat","AR",2856,"Hydrologist","8/27/1926","5ebb1bc2668d42407ec44bc3c31236e7",0
"9/25/2019 20:56","fraud_Rolfson-Kunde","personal_care",70.34,"F","Santa Monica","CA",92043,"Civil engineer, contracting","4/25/1961","9c8f2edc64f232ef11dacaa29c4e979d",0
"12/23/2019 22:33","fraud_Streich, Rolfson and Wilderman","kids_pets",49.64,"F","Spirit Lake","ID",4161,"Production manager","6/12/1957","6d643ad3937e89b1bbf8951c7e3a247b",0
"6/1/2019 23:34","fraud_Kuphal-Toy","food_dining",69.57,"M","Bryant","WI",1080,"Information systems manager","1/8/1979","bb99c3fac75a7d015b4b375336f4ac18",0
"2/19/2020 14:31","fraud_Heathcote LLC","shopping_net",45.91,"F","Lithopolis","OH",460,"Lecturer, higher education","6/19/2004","b996793b8807d97c0c65d880663e6f13",0
"9/16/2019 10:53","fraud_Kuphal-Toy","food_dining",38.79,"F","Whigham","GA",3430,"Editor, commissioning","3/25/1950","c7f04136777b8c325d47bdde03da9e10",0
